,#Digilent WaveForms Oscilloscope XY,
,#Device Name: Discovery2,
,#Serial Number: SN:210321AA2225,
,#Date Time: 2019-02-11 12:30:44.188,
,,
Times,Channel2V,Math 1 (A)
-0.00237563,1.41835,0.00945564
-0.00237505,1.40491,0.0093661
-0.00237447,1.39216,0.00928103
-0.00237389,1.37839,0.00918925
-0.00237331,1.36462,0.00909747
-0.00237273,1.35186,0.00901241
-0.00237215,1.34212,0.00894749
-0.00237157,1.33004,0.00886691
-0.00237099,1.31694,0.0087796
-0.00237041,1.30384,0.0086923
-0.00236983,1.29008,0.00860052
-0.00236925,1.27631,0.00850874
-0.00236867,1.26557,0.00843711
-0.00236809,1.25415,0.008361
-0.00236751,1.24072,0.00827146
-0.00236693,1.22762,0.00818415
-0.00236635,1.21419,0.00809461
-0.00236577,1.2011,0.00800731
-0.00236519,1.18733,0.00791553
-0.00236461,1.17793,0.00785285
-0.00236403,1.1645,0.00776331
-0.00236345,1.15241,0.00768272
-0.00236287,1.13864,0.00759094
-0.00236229,1.12487,0.00749916
-0.00236171,1.11245,0.00741634
-0.00236113,1.10305,0.00735366
-0.00236055,1.09029,0.00726859
-0.00235997,1.07652,0.00717681
-0.00235939,1.06309,0.00708727
-0.00235881,1.05,0.00699997
-0.00235823,1.03623,0.00690819
-0.00235765,1.02649,0.00684327
-0.00235707,1.01541,0.0067694
-0.00235649,1.00198,0.00667986
-0.00235591,0.987876,0.00658584
-0.00235533,0.974109,0.00649406
-0.00235475,0.960678,0.00640452
-0.00235417,0.949933,0.00633289
-0.00235359,0.939188,0.00626125
-0.00235301,0.925421,0.00616947
-0.00235243,0.912661,0.00608441
-0.00235185,0.900237,0.00600158
-0.00235127,0.88647,0.0059098
-0.00235069,0.873039,0.00582026
-0.00235011,0.863637,0.00575758
-0.00234953,0.850878,0.00567252
-0.00234895,0.836775,0.0055785
-0.00234837,0.824015,0.00549344
-0.00234779,0.81092,0.00540613
-0.00234721,0.797489,0.00531659
-0.00234663,0.78708,0.0052472
-0.00234605,0.774991,0.00516661
-0.00234547,0.761896,0.00507931
