#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AA22EE,,
#Date Time: 2019-03-18 13:20:07.459,,
#Sample rate: 4000Hz,,
#Samples: 8192,,
#Trigger: Source: voltage of transistor Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#voltage of LED: Range: 500 mV/div Offset: 0 V,,
#voltage of transistor: Range: 5 V/div Offset: 0 V,,
,,
Time (s),voltage of LED (V),voltage of transistor (V)
-1.024,1.72922,7.83306
-1.02375,1.72888,7.83306
-1.0235,1.72888,7.83306
-1.02325,1.72888,7.83682
-1.023,1.72821,7.83682
-1.02275,1.72787,7.83682
-1.0225,1.72787,7.84058
-1.02225,1.72754,7.84058
-1.022,1.72754,7.84058
-1.02175,1.7272,7.84433
-1.0215,1.72686,7.84433
-1.02125,1.72686,7.84433
-1.021,1.72653,7.84809
-1.02075,1.72619,7.84809
-1.0205,1.72586,7.84809
-1.02025,1.72586,7.85185
-1.02,1.72552,7.85185
-1.01975,1.72518,7.85185
-1.0195,1.72518,7.8556
-1.01925,1.72485,7.8556
-1.019,1.72451,7.8556
-1.01875,1.72451,7.85936
-1.0185,1.72418,7.85936
-1.01825,1.72418,7.86312
-1.018,1.72384,7.86312
-1.01775,1.7235,7.86312
-1.0175,1.7235,7.86312
-1.01725,1.72317,7.86687
-1.017,1.72317,7.86687
-1.01675,1.72283,7.86687
-1.0165,1.7225,7.87063
-1.01625,1.72216,7.87063
-1.016,1.72216,7.87063
-1.01575,1.72182,7.87439
-1.0155,1.72149,7.87439
-1.01525,1.72149,7.87439
-1.015,1.72115,7.87439
-1.01475,1.72115,7.87814
-1.0145,1.72081,7.87814
-1.01425,1.72048,7.87814
-1.014,1.72048,7.8819
-1.01375,1.72014,7.8819
-1.0135,1.72014,7.88566
-1.01325,1.71981,7.88566
-1.013,1.71947,7.88566
-1.01275,1.71913,7.88566
-1.0125,1.71913,7.88941
-1.01225,1.71846,7.88941
-1.012,1.71846,7.88941
-1.01175,1.71846,7.89317
-1.0115,1.71813,7.89317
-1.01125,1.71779,7.89693
-1.011,1.71745,7.89693
-1.01075,1.71745,7.90068
-1.0105,1.71712,7.90068
-1.01025,1.71678,7.90068
-1.01,1.71678,7.90444
-1.00975,1.71645,7.90444
-1.0095,1.71645,7.90444
-1.00925,1.71611,7.9082
-1.009,1.71577,7.9082
-1.00875,1.71544,7.91195
-1.0085,1.71544,7.91195
-1.00825,1.7151,7.91195
-1.008,1.71476,7.91571
-1.00775,1.71476,7.91571
-1.0075,1.71443,7.91947
-1.00725,1.71409,7.91947
-1.007,1.71376,7.91947
-1.00675,1.71376,7.92322
-1.0065,1.71342,7.92322
-1.00625,1.71342,7.92698
-1.006,1.71308,7.92698
-1.00575,1.71275,7.93074
-1.0055,1.71241,7.93074
-1.00525,1.71208,7.93074
-1.005,1.71208,7.93074
-1.00475,1.71208,7.93449
-1.0045,1.71174,7.93449
-1.00425,1.7114,7.93825
-1.004,1.71107,7.93825
-1.00375,1.71073,7.93825
-1.0035,1.71073,7.94201
-1.00325,1.7104,7.94201
-1.003,1.71006,7.94201
-1.00275,1.71006,7.94201
-1.0025,1.70972,7.94576
-1.00225,1.70939,7.94576
-1.002,1.70939,7.94952
-1.00175,1.70905,7.94952
-1.0015,1.70872,7.94952
-1.00125,1.70872,7.95328
-1.001,1.70838,7.95328
-1.00075,1.70804,7.95703
-1.0005,1.70771,7.95703
-1.00025,1.70771,7.95703
-1,1.70737,7.96079
-0.99975,1.70703,7.96079
-0.9995,1.70703,7.96455
-0.99925,1.7067,7.96455
-0.999,1.70636,7.96455
-0.99875,1.70603,7.9683
-0.9985,1.70603,7.9683
-0.99825,1.70569,7.97206
-0.998,1.70535,7.97206
-0.99775,1.70535,7.97582
-0.9975,1.70502,7.97582
-0.99725,1.70468,7.97582
-0.997,1.70435,7.97957
-0.99675,1.70435,7.97957
-0.9965,1.70401,7.98333
-0.99625,1.70367,7.98333
-0.996,1.70367,7.98333
-0.99575,1.70334,7.98709
-0.9955,1.703,7.98709
-0.99525,1.703,7.99084
-0.995,1.70267,7.99084
-0.99475,1.70233,7.99084
-0.9945,1.70233,7.9946
-0.99425,1.70199,7.9946
-0.994,1.70166,7.99836
-0.99375,1.70166,7.99836
-0.9935,1.70132,8.00211
-0.99325,1.70132,8.00211
-0.993,1.70065,8.00587
-0.99275,1.70031,8.00587
-0.9925,1.70031,8.00963
-0.99225,1.69998,8.00963
-0.992,1.69964,8.00963
-0.99175,1.69964,8.01338
-0.9915,1.6993,8.01338
-0.99125,1.69897,8.01714
-0.991,1.69863,8.01714
-0.99075,1.69863,8.02089
-0.9905,1.6983,8.02089
-0.99025,1.69796,8.02089
-0.99,1.69796,8.02465
-0.98975,1.69762,8.02841
-0.9895,1.69729,8.02841
-0.98925,1.69729,8.03216
-0.989,1.69695,8.03216
-0.98875,1.69662,8.03216
-0.9885,1.69628,8.03592
-0.98825,1.69594,8.03592
-0.988,1.69594,8.03968
-0.98775,1.69561,8.04343
-0.9875,1.69527,8.04343
-0.98725,1.69527,8.04719
-0.987,1.6946,8.04719
-0.98675,1.6946,8.05095
-0.9865,1.69426,8.05095
-0.98625,1.69393,8.05095
-0.986,1.69359,8.0547
-0.98575,1.69359,8.05846
-0.9855,1.69326,8.05846
-0.98525,1.69292,8.06222
-0.985,1.69258,8.06222
-0.98475,1.69225,8.06597
-0.9845,1.69225,8.06597
-0.98425,1.69191,8.06973
-0.984,1.69157,8.06973
-0.98375,1.69124,8.07349
-0.9835,1.6909,8.07349
-0.98325,1.69057,8.07724
-0.983,1.69023,8.07724
-0.98275,1.69023,8.081
-0.9825,1.68956,8.081
-0.98225,1.68956,8.08476
-0.982,1.68922,8.08476
-0.98175,1.68889,8.08851
-0.9815,1.68855,8.08851
-0.98125,1.68855,8.09227
-0.981,1.68788,8.09603
-0.98075,1.68788,8.09603
-0.9805,1.68754,8.09978
-0.98025,1.68721,8.09978
-0.98,1.68687,8.10354
-0.97975,1.68653,8.10354
-0.9795,1.6862,8.1073
-0.97925,1.6862,8.11105
-0.979,1.68586,8.11105
-0.97875,1.68552,8.11481
-0.9785,1.68519,8.11481
-0.97825,1.68485,8.11857
-0.978,1.68452,8.12232
-0.97775,1.68418,8.12232
-0.9775,1.68384,8.12608
-0.97725,1.68351,8.12984
-0.977,1.68317,8.12984
-0.97675,1.68284,8.13359
-0.9765,1.6825,8.13359
-0.97625,1.68216,8.13735
-0.976,1.68183,8.14111
-0.97575,1.68149,8.14111
-0.9755,1.68116,8.14486
-0.97525,1.68082,8.14862
-0.975,1.68048,8.15238
-0.97475,1.68015,8.15238
-0.9745,1.67981,8.15613
-0.97425,1.67948,8.15989
-0.974,1.6788,8.15989
-0.97375,1.67847,8.16365
-0.9735,1.67813,8.1674
-0.97325,1.67779,8.17116
-0.973,1.67746,8.17116
-0.97275,1.67712,8.17492
-0.9725,1.67645,8.17867
-0.97225,1.67611,8.17867
-0.972,1.67578,8.18243
-0.97175,1.67511,8.18994
-0.9715,1.67477,8.1937
-0.97125,1.67443,8.19746
-0.971,1.67376,8.19746
-0.97075,1.67343,8.20497
-0.9705,1.67275,8.20873
-0.97025,1.67208,8.21248
-0.97,1.67141,8.21624
-0.96975,1.67074,8.22375
-0.9695,1.67006,8.22751
-0.96925,1.66939,8.23502
-0.969,1.66838,8.23878
-0.96875,1.66704,8.25005
-0.9685,1.6657,8.26132
-0.96825,1.65897,8.31015
-0.968,1.43783,8.87364
-0.96775,1.41665,8.9037
-0.9675,1.41665,8.9037
-0.96725,1.41665,8.9037
-0.967,1.41665,8.9037
-0.96675,1.41699,8.9037
-0.9665,1.41665,8.9037
-0.96625,1.41699,8.90745
-0.966,1.41699,8.90745
-0.96575,1.41699,8.90745
-0.9655,1.41699,8.90745
-0.96525,1.41699,8.90745
-0.965,1.41699,8.91121
-0.96475,1.41699,8.90745
-0.9645,1.41699,8.91121
-0.96425,1.41699,8.91121
-0.964,1.41699,8.91121
-0.96375,1.41699,8.91121
-0.9635,1.41699,8.91121
-0.96325,1.41699,8.91121
-0.963,1.41699,8.91121
-0.96275,1.41732,8.91497
-0.9625,1.41732,8.91497
-0.96225,1.41699,8.91497
-0.962,1.41699,8.91497
-0.96175,1.41699,8.91497
-0.9615,1.41699,8.91497
-0.96125,1.41699,8.91872
-0.961,1.41699,8.91872
-0.96075,1.41699,8.91872
-0.9605,1.41699,8.91872
-0.96025,1.41699,8.91872
-0.96,1.41699,8.91872
-0.95975,1.41699,8.91872
-0.9595,1.41699,8.92248
-0.95925,1.41699,8.92248
-0.959,1.41732,8.92248
-0.95875,1.41699,8.92248
-0.9585,1.41699,8.92248
-0.95825,1.41699,8.92248
-0.958,1.41699,8.92248
-0.95775,1.41732,8.92624
-0.9575,1.41732,8.92624
-0.95725,1.41699,8.92624
-0.957,1.41732,8.92624
-0.95675,1.41732,8.92624
-0.9565,1.41732,8.92624
-0.95625,1.41732,8.92624
-0.956,1.41699,8.92624
-0.95575,1.41732,8.92999
-0.9555,1.41732,8.92999
-0.95525,1.41732,8.92999
-0.955,1.41732,8.92999
-0.95475,1.41732,8.92999
-0.9545,1.41732,8.92999
-0.95425,1.41699,8.92999
-0.954,1.41699,8.93375
-0.95375,1.41699,8.93375
-0.9535,1.41732,8.93375
-0.95325,1.41732,8.93375
-0.953,1.41732,8.93375
-0.95275,1.41732,8.93375
-0.9525,1.41732,8.93375
-0.95225,1.41699,8.93751
-0.952,1.41699,8.93375
-0.95175,1.41699,8.93751
-0.9515,1.41699,8.93751
-0.95125,1.41732,8.93751
-0.951,1.41732,8.93751
-0.95075,1.41732,8.93751
-0.9505,1.41732,8.94126
-0.95025,1.41732,8.94126
-0.95,1.41732,8.94126
-0.94975,1.41732,8.94126
-0.9495,1.41699,8.94126
-0.94925,1.41732,8.94126
-0.949,1.41732,8.94126
-0.94875,1.41732,8.94502
-0.9485,1.41732,8.94502
-0.94825,1.41732,8.94502
-0.948,1.41732,8.94502
-0.94775,1.41732,8.94502
-0.9475,1.41732,8.94502
-0.94725,1.41732,8.94502
-0.947,1.41732,8.94502
-0.94675,1.41732,8.94878
-0.9465,1.41732,8.94878
-0.94625,1.41732,8.94878
-0.946,1.41732,8.94878
-0.94575,1.41732,8.94878
-0.9455,1.41732,8.94878
-0.94525,1.41732,8.95253
-0.945,1.41732,8.94878
-0.94475,1.41732,8.95253
-0.9445,1.41732,8.95253
-0.94425,1.41732,8.95253
-0.944,1.41732,8.95253
-0.94375,1.41732,8.95253
-0.9435,1.41732,8.95253
-0.94325,1.41732,8.95629
-0.943,1.41732,8.95253
-0.94275,1.41732,8.95629
-0.9425,1.41766,8.95629
-0.94225,1.41732,8.95629
-0.942,1.41732,8.95629
-0.94175,1.41732,8.95629
-0.9415,1.41732,8.96005
-0.94125,1.41732,8.95629
-0.941,1.41732,8.96005
-0.94075,1.41766,8.96005
-0.9405,1.41732,8.96005
-0.94025,1.41732,8.96005
-0.94,1.41732,8.96005
-0.93975,1.41732,8.96005
-0.9395,1.41732,8.9638
-0.93925,1.41732,8.9638
-0.939,1.41732,8.96005
-0.93875,1.41732,8.9638
-0.9385,1.41732,8.9638
-0.93825,1.41732,8.9638
-0.938,1.41732,8.9638
-0.93775,1.41732,8.9638
-0.9375,1.41732,8.9638
-0.93725,1.41732,8.96756
-0.937,1.41732,8.96756
-0.93675,1.41766,8.96756
-0.9365,1.41766,8.96756
-0.93625,1.41732,8.96756
-0.936,1.41732,8.96756
-0.93575,1.41732,8.97132
-0.9355,1.41732,8.96756
-0.93525,1.41732,8.97132
-0.935,1.41732,8.97132
-0.93475,1.41732,8.97132
-0.9345,1.41732,8.97132
-0.93425,1.41732,8.97132
-0.934,1.41732,8.97132
-0.93375,1.41732,8.97507
-0.9335,1.41732,8.97132
-0.93325,1.41732,8.97507
-0.933,1.41732,8.97507
-0.93275,1.41732,8.97507
-0.9325,1.41732,8.97507
-0.93225,1.41732,8.97507
-0.932,1.41732,8.97507
-0.93175,1.41732,8.97883
-0.9315,1.41766,8.97883
-0.93125,1.41732,8.97883
-0.931,1.41732,8.97883
-0.93075,1.41732,8.97883
-0.9305,1.41766,8.97883
-0.93025,1.41732,8.97883
-0.93,1.41732,8.97883
-0.92975,1.41766,8.98259
-0.9295,1.41766,8.98259
-0.92925,1.41732,8.98259
-0.929,1.41766,8.98259
-0.92875,1.41732,8.98259
-0.9285,1.41766,8.98259
-0.92825,1.41732,8.98259
-0.928,1.41732,8.98634
-0.92775,1.41766,8.98634
-0.9275,1.41766,8.98634
-0.92725,1.41766,8.98634
-0.927,1.41732,8.98634
-0.92675,1.41732,8.98634
-0.9265,1.41766,8.9901
-0.92625,1.41766,8.9901
-0.926,1.41766,8.98634
-0.92575,1.41766,8.9901
-0.9255,1.41766,8.9901
-0.92525,1.41766,8.9901
-0.925,1.41766,8.9901
-0.92475,1.41766,8.9901
-0.9245,1.41766,8.9901
-0.92425,1.41766,8.99386
-0.924,1.41766,8.99386
-0.92375,1.41766,8.9901
-0.9235,1.41766,8.99386
-0.92325,1.41766,8.99386
-0.923,1.41766,8.99386
-0.92275,1.41766,8.99386
-0.9225,1.41766,8.99761
-0.92225,1.41766,8.99761
-0.922,1.41766,8.99761
-0.92175,1.41766,8.99761
-0.9215,1.41766,8.99761
-0.92125,1.41766,8.99761
-0.921,1.41766,8.99761
-0.92075,1.41766,9.00137
-0.9205,1.41766,9.00137
-0.92025,1.41766,9.00137
-0.92,1.41766,9.00137
-0.91975,1.41766,9.00137
-0.9195,1.41766,9.00137
-0.91925,1.41766,9.00137
-0.919,1.41766,9.00137
-0.91875,1.41766,9.00513
-0.9185,1.41766,9.00513
-0.91825,1.41766,9.00513
-0.918,1.41766,9.00513
-0.91775,1.41766,9.00513
-0.9175,1.41766,9.00888
-0.91725,1.41766,9.00513
-0.917,1.41766,9.00888
-0.91675,1.41766,9.00888
-0.9165,1.41766,9.00888
-0.91625,1.41766,9.00888
-0.916,1.418,9.00888
-0.91575,1.41766,9.00888
-0.9155,1.41766,9.00888
-0.91525,1.41766,9.00888
-0.915,1.41766,9.01264
-0.91475,1.41766,9.01264
-0.9145,1.41766,9.01264
-0.91425,1.41766,9.01264
-0.914,1.41766,9.01264
-0.91375,1.41766,9.01264
-0.9135,1.41766,9.01264
-0.91325,1.41766,9.0164
-0.913,1.41766,9.0164
-0.91275,1.41766,9.0164
-0.9125,1.41766,9.0164
-0.91225,1.41766,9.0164
-0.912,1.41766,9.0164
-0.91175,1.41766,9.0164
-0.9115,1.41766,9.0164
-0.91125,1.41766,9.0164
-0.911,1.41766,9.0164
-0.91075,1.41766,9.02015
-0.9105,1.41766,9.02015
-0.91025,1.41766,9.02015
-0.91,1.41766,9.02015
-0.90975,1.41766,9.02015
-0.9095,1.41766,9.02015
-0.90925,1.41766,9.02391
-0.909,1.41766,9.02015
-0.90875,1.41766,9.02391
-0.9085,1.41766,9.02391
-0.90825,1.418,9.02391
-0.908,1.41766,9.02391
-0.90775,1.41766,9.02391
-0.9075,1.41766,9.02767
-0.90725,1.41766,9.02767
-0.907,1.41766,9.02767
-0.90675,1.41766,9.02767
-0.9065,1.418,9.02767
-0.90625,1.41766,9.02767
-0.906,1.41766,9.02767
-0.90575,1.41766,9.02767
-0.9055,1.41766,9.02767
-0.90525,1.41766,9.02767
-0.905,1.41766,9.02767
-0.90475,1.41766,9.03142
-0.9045,1.418,9.03142
-0.90425,1.41766,9.03142
-0.904,1.418,9.03142
-0.90375,1.41766,9.03142
-0.9035,1.418,9.03518
-0.90325,1.41766,9.03518
-0.903,1.41766,9.03142
-0.90275,1.41766,9.03518
-0.9025,1.418,9.03518
-0.90225,1.418,9.03518
-0.902,1.418,9.03518
-0.90175,1.41766,9.03894
-0.9015,1.41766,9.03894
-0.90125,1.41766,9.03894
-0.901,1.418,9.03894
-0.90075,1.41766,9.03894
-0.9005,1.41766,9.03894
-0.90025,1.41766,9.03894
-0.9,1.41766,9.03894
-0.89975,1.41766,9.04269
-0.8995,1.41766,9.04269
-0.89925,1.41766,9.03894
-0.899,1.41766,9.04269
-0.89875,1.41766,9.04269
-0.8985,1.41766,9.04269
-0.89825,1.41766,9.04269
-0.898,1.418,9.04269
-0.89775,1.41766,9.04269
-0.8975,1.418,9.04645
-0.89725,1.418,9.04645
-0.897,1.41766,9.04645
-0.89675,1.41766,9.04645
-0.8965,1.418,9.04645
-0.89625,1.418,9.04645
-0.896,1.41766,9.04645
-0.89575,1.418,9.04645
-0.8955,1.41766,9.04645
-0.89525,1.41766,9.05021
-0.895,1.418,9.05021
-0.89475,1.418,9.05021
-0.8945,1.41766,9.05021
-0.89425,1.418,9.05021
-0.894,1.41766,9.05021
-0.89375,1.418,9.05396
-0.8935,1.41766,9.05021
-0.89325,1.418,9.05396
-0.893,1.418,9.05396
-0.89275,1.418,9.05396
-0.8925,1.418,9.05396
-0.89225,1.418,9.05396
-0.892,1.418,9.05396
-0.89175,1.418,9.05772
-0.8915,1.418,9.05772
-0.89125,1.418,9.05772
-0.891,1.418,9.05772
-0.89075,1.418,9.05772
-0.8905,1.418,9.05772
-0.89025,1.418,9.05772
-0.89,1.418,9.05772
-0.88975,1.418,9.05772
-0.8895,1.418,9.05772
-0.88925,1.418,9.06148
-0.889,1.418,9.06148
-0.88875,1.418,9.06148
-0.8885,1.418,9.06148
-0.88825,1.418,9.06148
-0.888,1.418,9.06148
-0.88775,1.418,9.06523
-0.8875,1.418,9.06523
-0.88725,1.418,9.06523
-0.887,1.418,9.06523
-0.88675,1.418,9.06523
-0.8865,1.418,9.06523
-0.88625,1.418,9.06523
-0.886,1.418,9.06523
-0.88575,1.418,9.06899
-0.8855,1.418,9.06899
-0.88525,1.418,9.06899
-0.885,1.418,9.06899
-0.88475,1.418,9.06899
-0.8845,1.418,9.06899
-0.88425,1.418,9.06899
-0.884,1.418,9.07274
-0.88375,1.418,9.07274
-0.8835,1.418,9.07274
-0.88325,1.418,9.07274
-0.883,1.418,9.07274
-0.88275,1.418,9.07274
-0.8825,1.418,9.07274
-0.88225,1.418,9.07274
-0.882,1.418,9.07274
-0.88175,1.418,9.0765
-0.8815,1.418,9.0765
-0.88125,1.418,9.0765
-0.881,1.418,9.0765
-0.88075,1.418,9.0765
-0.8805,1.418,9.0765
-0.88025,1.418,9.0765
-0.88,1.418,9.0765
-0.87975,1.418,9.0765
-0.8795,1.41833,9.08026
-0.87925,1.418,9.08026
-0.879,1.418,9.08026
-0.87875,1.418,9.08026
-0.8785,1.418,9.08026
-0.87825,1.41833,9.08026
-0.878,1.41833,9.08026
-0.87775,1.418,9.08026
-0.8775,1.418,9.08401
-0.87725,1.418,9.08401
-0.877,1.41833,9.08401
-0.87675,1.418,9.08401
-0.8765,1.418,9.08401
-0.87625,1.418,9.08401
-0.876,1.418,9.08401
-0.87575,1.418,9.08777
-0.8755,1.418,9.08777
-0.87525,1.418,9.08777
-0.875,1.418,9.08777
-0.87475,1.418,9.08777
-0.8745,1.418,9.08777
-0.87425,1.418,9.08777
-0.874,1.418,9.08777
-0.87375,1.418,9.09153
-0.8735,1.418,9.09153
-0.87325,1.418,9.09153
-0.873,1.41833,9.09153
-0.87275,1.418,9.09153
-0.8725,1.418,9.09153
-0.87225,1.41833,9.09153
-0.872,1.41833,9.09528
-0.87175,1.418,9.09528
-0.8715,1.41833,9.09528
-0.87125,1.41833,9.09528
-0.871,1.418,9.09528
-0.87075,1.418,9.09528
