#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AA22EE,,
#Date Time: 2019-03-18 13:31:11.950,,
#Sample rate: 4000Hz,,
#Samples: 8192,,
#Trigger: Source: voltage of transistor Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#voltage of small resistor (470): Range: 500 mV/div Offset: 0 V,,
#current of small resistor: Function: C1 / 470,,
,,
Time (s),voltage of small resistor (470) (V),current of small resistor (mA)
-1.024,-0.000312449,-6.65E-07
-1.02375,2.36E-05,5.03E-08
-1.0235,-0.000312449,-6.65E-07
-1.02325,2.36E-05,5.03E-08
-1.023,-0.000312449,-6.65E-07
-1.02275,2.36E-05,5.03E-08
-1.0225,2.36E-05,5.03E-08
-1.02225,2.36E-05,5.03E-08
-1.022,2.36E-05,5.03E-08
-1.02175,-0.000312449,-6.65E-07
-1.0215,2.36E-05,5.03E-08
-1.02125,-0.000312449,-6.65E-07
-1.021,-0.000312449,-6.65E-07
-1.02075,2.36E-05,5.03E-08
-1.0205,2.36E-05,5.03E-08
-1.02025,2.36E-05,5.03E-08
-1.02,2.36E-05,5.03E-08
-1.01975,2.36E-05,5.03E-08
-1.0195,2.36E-05,5.03E-08
-1.01925,-0.000312449,-6.65E-07
-1.019,2.36E-05,5.03E-08
-1.01875,2.36E-05,5.03E-08
-1.0185,2.36E-05,5.03E-08
-1.01825,2.36E-05,5.03E-08
-1.018,-0.000312449,-6.65E-07
-1.01775,2.36E-05,5.03E-08
-1.0175,2.36E-05,5.03E-08
-1.01725,2.36E-05,5.03E-08
-1.017,2.36E-05,5.03E-08
-1.01675,-0.000312449,-6.65E-07
-1.0165,2.36E-05,5.03E-08
-1.01625,-0.000312449,-6.65E-07
-1.016,2.36E-05,5.03E-08
-1.01575,-0.000312449,-6.65E-07
-1.0155,2.36E-05,5.03E-08
-1.01525,2.36E-05,5.03E-08
-1.015,2.36E-05,5.03E-08
-1.01475,2.36E-05,5.03E-08
-1.0145,2.36E-05,5.03E-08
-1.01425,2.36E-05,5.03E-08
-1.014,2.36E-05,5.03E-08
-1.01375,2.36E-05,5.03E-08
-1.0135,2.36E-05,5.03E-08
-1.01325,2.36E-05,5.03E-08
-1.013,2.36E-05,5.03E-08
-1.01275,2.36E-05,5.03E-08
-1.0125,2.36E-05,5.03E-08
-1.01225,2.36E-05,5.03E-08
-1.012,2.36E-05,5.03E-08
-1.01175,2.36E-05,5.03E-08
-1.0115,2.36E-05,5.03E-08
-1.01125,2.36E-05,5.03E-08
-1.011,2.36E-05,5.03E-08
-1.01075,2.36E-05,5.03E-08
-1.0105,2.36E-05,5.03E-08
-1.01025,2.36E-05,5.03E-08
-1.01,2.36E-05,5.03E-08
-1.00975,2.36E-05,5.03E-08
-1.0095,2.36E-05,5.03E-08
-1.00925,2.36E-05,5.03E-08
-1.009,2.36E-05,5.03E-08
-1.00875,2.36E-05,5.03E-08
-1.0085,2.36E-05,5.03E-08
-1.00825,2.36E-05,5.03E-08
-1.008,2.36E-05,5.03E-08
-1.00775,2.36E-05,5.03E-08
-1.0075,2.36E-05,5.03E-08
-1.00725,2.36E-05,5.03E-08
-1.007,2.36E-05,5.03E-08
-1.00675,2.36E-05,5.03E-08
-1.0065,2.36E-05,5.03E-08
-1.00625,2.36E-05,5.03E-08
-1.006,2.36E-05,5.03E-08
-1.00575,2.36E-05,5.03E-08
-1.0055,2.36E-05,5.03E-08
-1.00525,2.36E-05,5.03E-08
-1.005,2.36E-05,5.03E-08
-1.00475,2.36E-05,5.03E-08
-1.0045,2.36E-05,5.03E-08
-1.00425,2.36E-05,5.03E-08
-1.004,2.36E-05,5.03E-08
-1.00375,2.36E-05,5.03E-08
-1.0035,2.36E-05,5.03E-08
-1.00325,2.36E-05,5.03E-08
-1.003,2.36E-05,5.03E-08
-1.00275,2.36E-05,5.03E-08
-1.0025,2.36E-05,5.03E-08
-1.00225,2.36E-05,5.03E-08
-1.002,2.36E-05,5.03E-08
-1.00175,2.36E-05,5.03E-08
-1.0015,2.36E-05,5.03E-08
-1.00125,2.36E-05,5.03E-08
-1.001,2.36E-05,5.03E-08
-1.00075,2.36E-05,5.03E-08
-1.0005,2.36E-05,5.03E-08
-1.00025,2.36E-05,5.03E-08
-1,2.36E-05,5.03E-08
-0.99975,2.36E-05,5.03E-08
-0.9995,2.36E-05,5.03E-08
-0.99925,2.36E-05,5.03E-08
-0.999,2.36E-05,5.03E-08
-0.99875,2.36E-05,5.03E-08
-0.9985,2.36E-05,5.03E-08
-0.99825,2.36E-05,5.03E-08
-0.998,2.36E-05,5.03E-08
-0.99775,2.36E-05,5.03E-08
-0.9975,2.36E-05,5.03E-08
-0.99725,2.36E-05,5.03E-08
-0.997,2.36E-05,5.03E-08
-0.99675,2.36E-05,5.03E-08
-0.9965,2.36E-05,5.03E-08
-0.99625,2.36E-05,5.03E-08
-0.996,2.36E-05,5.03E-08
-0.99575,2.36E-05,5.03E-08
-0.9955,2.36E-05,5.03E-08
-0.99525,2.36E-05,5.03E-08
-0.995,2.36E-05,5.03E-08
-0.99475,2.36E-05,5.03E-08
-0.9945,2.36E-05,5.03E-08
-0.99425,2.36E-05,5.03E-08
-0.994,2.36E-05,5.03E-08
-0.99375,2.36E-05,5.03E-08
-0.9935,2.36E-05,5.03E-08
-0.99325,2.36E-05,5.03E-08
-0.993,2.36E-05,5.03E-08
-0.99275,2.36E-05,5.03E-08
-0.9925,2.36E-05,5.03E-08
-0.99225,2.36E-05,5.03E-08
-0.992,2.36E-05,5.03E-08
-0.99175,2.36E-05,5.03E-08
-0.9915,2.36E-05,5.03E-08
-0.99125,2.36E-05,5.03E-08
-0.991,2.36E-05,5.03E-08
-0.99075,2.36E-05,5.03E-08
-0.9905,2.36E-05,5.03E-08
-0.99025,2.36E-05,5.03E-08
-0.99,2.36E-05,5.03E-08
-0.98975,2.36E-05,5.03E-08
-0.9895,2.36E-05,5.03E-08
-0.98925,2.36E-05,5.03E-08
-0.989,2.36E-05,5.03E-08
-0.98875,2.36E-05,5.03E-08
-0.9885,2.36E-05,5.03E-08
-0.98825,2.36E-05,5.03E-08
-0.988,2.36E-05,5.03E-08
-0.98775,2.36E-05,5.03E-08
-0.9875,2.36E-05,5.03E-08
-0.98725,2.36E-05,5.03E-08
-0.987,2.36E-05,5.03E-08
-0.98675,2.36E-05,5.03E-08
-0.9865,2.36E-05,5.03E-08
-0.98625,2.36E-05,5.03E-08
-0.986,2.36E-05,5.03E-08
-0.98575,2.36E-05,5.03E-08
-0.9855,2.36E-05,5.03E-08
-0.98525,2.36E-05,5.03E-08
-0.985,2.36E-05,5.03E-08
-0.98475,2.36E-05,5.03E-08
-0.9845,2.36E-05,5.03E-08
-0.98425,2.36E-05,5.03E-08
-0.984,2.36E-05,5.03E-08
-0.98375,2.36E-05,5.03E-08
-0.9835,2.36E-05,5.03E-08
-0.98325,2.36E-05,5.03E-08
-0.983,2.36E-05,5.03E-08
-0.98275,2.36E-05,5.03E-08
